30	0-0 1-1 2-4 7-2 3-6 5-5 9-7 10-9 11-10
31	0-0 2-1 3-2 4-3 5-5 6-6 8-7 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 16-17 17-9 18-8 19-19 20-18 21-20 22-21 23-22 24-23 25-29 26-30 27-31 28-24 28-25 29-26 30-27 31-28 32-32
32	0-0 1-1 1-2 2-4 3-10 3-11 4-5 5-6 5-7 6-12 7-13 8-14 9-15 9-16 11-23 12-19 13-21 14-17 15-24
33	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-12 10-11 11-9 12-15 13-16 14-18 15-19 17-22 18-23 19-24 20-21 21-25 22-27 23-26 25-29
34	0-2 0-3 1-1 4-1 5-4 6-5 7-5 8-13 11-10 12-11 13-9 14-14
35	0-0 1-1 2-4 3-2 6-6 7-7 8-9 10-10
36	4-18 5-19 6-21 7-22 8-23 9-25 11-26 12-5 13-0 14-2 16-6 21-7 22-8
37	0-0 1-2 2-3 3-5 5-6 6-7 7-8 9-12 11-14 12-10 13-10 14-11 15-15 16-16 16-18 17-19
38	0-8 4-11 6-3 6-4 7-5 8-0 9-12 9-13 10-14 11-15
39	0-24 2-25 3-25 4-25 5-27 6-30 7-31 8-32 9-29 10-34 14-33 
40	0-0 1-1 2-2 4-4 4-5 5-8
41	0-0 1-1 2-6 3-2 4-5 7-8 8-11 9-12 9-13 10-14 11-9 11-10 12-15
42	3-0 4-1 5-11 6-13 7-5 8-6 9-7 9-9 9-10 11-13 12-14
43	0-0 1-1 1-2 1-3 1-4 2-5 3-6
44	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 10-9 11-10 11-11 12-13 13-12 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-22 23-23 24-24 25-25 26-26 27-27
45	0-0 1-6 2-7 4-10 5-8 6-9 7-11 8-12 9-15 10-16 11-17 12-18 13-19 14-14 15-13 16-20 17-21 18-22 20-23 21-24 22-25 23-26
46	2-2 3-3 4-6 6-12 7-5 8-8 8-11 11-17 12-18 12-19 13-20 14-21 15-22
47	0-0 2-2 3-3 4-4 6-1 7-5 8-6 9-7 10-8 11-9 12-10 13-11
48	0-0 1-1 2-2 3-4 4-4 5-6 6-8 7-8 8-11 9-5 10-12
49	0-0 1-1 2-2 3-4 4-5 5-6 6-9 7-10 8-11 9-7 9-8 10-12
50	0-0 1-1 3-2 4-3 5-4
51	0-4 2-9 3-10 3-11 8-13 9-14 10-15 11-16 16-19 17-19 18-20 20-21 20-26 23-23 24-24 26-25 27-27
52	0-0 1-1 2-1 3-2 4-3 5-4 6-5 7-1 8-6 9-8 10-7 11-9 12-10 13-11 14-12 15-13 16-14 16-15 17-16 18-17 18-18 19-19 20-20 21-21 22-22 23-26 24-27 25-28 26-29 27-30 28-24 29-25 30-23 31-31
53	2-0 3-1 4-2 5-3 6-4 7-5 8-6 9-7 9-8 10-9 11-10 12-11 13-12 14-13 15-15 16-16 17-14 18-15 19-18
54	0-0 1-3 1-4 2-1 3-2 4-5 4-6 5-7 6-8 7-3 7-4 9-11 11-13 12-11 14-11 15-16 21-21 21-22 21-23 22-25 22-26 22-27 23-28 24-29 25-19 25-20 26-30
55	2-1 2-2 3-6 4-14 6-11 6-12 7-7 8-10 9-8 10-9 11-17 12-18 13-16 14-19 15-20 16-21 17-22 23-28 24-30 25-31 26-27 27-32
56	0-1 1-2 2-3 3-4 4-5 5-6 6-7 7-8 8-12 9-10 10-11 11-17 12-18 13-19 14-20 15-21 16-22 17-0 19-13 20-14 21-23
57	0-0 1-1
58	0-0 1-1 2-2 3-3 4-4 5-5 9-11 10-12 11-13 12-14 13-10 14-7 14-8 16-15 24-16 24-17 25-20
59	0-0 1-1 2-2 3-3 5-4 6-5 8-8 9-9
60	2-1 3-2 4-3 5-4 6-5 6-6 6-7 8-16 9-15 10-18 11-19 12-21 13-22 13-24 14-25 15-17 16-26 17-27 18-28 19-29 19-30 21-31 22-32
61	0-0 2-2 3-3 4-4 5-5 6-6 7-7 9-11 10-10 11-8 12-9 13-14 14-15 15-16 16-13 17-17
62	0-2 1-3 2-0 3-4 5-5 7-9 8-10 8-11 9-12 10-13 10-14 12-6 13-7 13-8 15-23 15-24 16-17 17-20 18-21 19-18 20-15 21-25
63	1-0 2-1 7-14 8-15 9-16 10-17 11-18 12-19 13-9 14-10 15-11 16-12 17-7 18-8 19-22
64	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7
65	0-0 1-1 2-2 3-3 4-4
66	0-0 1-1 2-5 3-6 4-7 5-8 5-9 6-6 7-2 8-3 9-4 10-10
67	0-0 4-13 4-14 5-15 5-16 6-9 8-10 9-11 10-8 11-17
68	0-0 3-1 4-2 5-3 6-4 7-9 8-7 9-8 10-12 10-13 11-11 13-15 14-16 15-17 15-18 16-19 17-20 18-14 19-21 20-22 21-24 23-26 24-27 25-28
69	0-1 12-6 13-7 14-8 15-12 17-9 19-13 21-18 22-16 23-15 24-19 25-21 27-24 28-23
70	0-0 1-1 2-2 3-3 4-5 5-7 6-8 7-11 8-9 9-6 10-13
71	0-0 1-1 2-4 3-5 4-7 5-8 6-10 8-11 9-12 10-13 11-9 12-15 13-14 15-16 17-18
72	0-1 1-0 2-3
73	0-0 1-1 2-3 3-4 6-11 6-12 7-16 8-17 9-13 9-14 10-3 11-18 12-19 13-24 14-25 15-26 16-21 17-20 18-22 19-23 20-27
74	1-6 2-0 3-1 4-2 5-3 6-4 7-5 8-7 9-9 10-10 11-8 12-11
75	0-0 1-1 2-2 3-3 4-4
